Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Chris King,,1.1,0,-0.1,NA,NA,NA,NA
Michael Young,88.5,1.1,0,0,NA,NA,NA,NA
Scott English,85.1,1,0,-0.2,NA,NA,NA,NA
Ivano Newbill,81.8,1.1,0.1,-0.1,NA,NA,NA,NA
Glenn McDonald,70.7,1.1,0.2,-0.2,NA,NA,NA,NA
Larry Robinson,69.3,1.1,0,0,0,0,-0.1,-0.1
Dwayne Jones,66.5,1.2,0.1,0.1,0,0,NA,NA
Jackie Butler,65.9,1.2,0.1,0.1,NA,NA,NA,NA
Damjan Rudež,65.5,1.3,0.1,0.1,NA,NA,NA,NA
Terence Morris,60.8,0.9,0.2,-0.1,NA,NA,NA,NA
Kenny Dennard,58.6,1.1,0.3,0.1,NA,NA,NA,NA
