Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Chris King,,1.1,0,-0.1
Michael Young,88.5,1.1,0,0
Aaron Williams,86.9,1.1,-0.1,-0.1
Scott English,85.1,1,0,-0.2
Anthony Miller,82.6,1.2,0,-0.1
Ivano Newbill,81.8,1.1,0.1,-0.1
Mark Pope,76.8,1.3,0,-0.1
Dwayne Jones,74.2,1.2,0.1,0
Darko Miličić,71.4,1.2,-0.2,-0.2
Glenn McDonald,70.7,1.1,0.2,-0.2
Bob Arnzen,67.5,1,0.3,-0.1
