Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Damion James,,0.1,0,0,-0.2
Lester Hudson,-92.9,0.2,0.1,0.1,-0.1
Jared Cunningham,-93.1,0.1,0.1,0,0
Dominique Jones,-94.5,0.2,0,0,NA
Awvee Storey,-94.6,0.2,0.1,0,NA
Andre Barrett,-95.9,0.4,0,0,-0.1
Mike Price,-96.2,0.2,0.2,0.1,NA
R.J. Hunter,-96.4,0.3,0.1,0,0
Bob Duffy,-97.1,0.3,0.1,0.1,NA
Anthony Roberson,-97.2,0.2,0.2,0.1,NA
Randy Woods,-97.4,0.3,0.2,0.1,0.1
