Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tariq Abdul-Wahad,,2.2,1.4,0.4,0,-0.2,-0.4,NA,NA
Cliff Pondexter,75.7,2.2,1.5,1,NA,NA,NA,NA,NA
Joe Holup,74.8,2.1,1.8,0.3,NA,NA,NA,NA,NA
Jim Bradley,74.4,2.3,1.3,0.1,NA,NA,NA,NA,NA
Sam Pellom,73.5,2.2,1.8,0.7,0,NA,NA,NA,NA
Derrick Brown,69.9,2.3,1.3,1,NA,NA,NA,NA,NA
Kenny Battle,69.5,1.9,1.3,0.3,0.1,NA,NA,NA,NA
Cheick Diallo,69.1,2.6,1.9,0.5,NA,NA,NA,NA,NA
Alaa Abdelnaby,68.5,2.1,2,0.5,0.3,-0.1,NA,NA,NA
Jim Palmer,67.0,2.4,1.9,0.2,NA,NA,NA,NA,NA
Jonathan Bender,65.9,2,1.7,0.5,0.2,0,-0.1,-0.2,-0.2
