Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Tariq Abdul-Wahad,,2.2,1.4,0.4,0,-0.2,-0.4
Jonathan Bender,79.0,2,1.7,0.5,-0.1,-0.2,-0.2
Cliff Pondexter,75.7,2.2,1.5,1,NA,NA,NA
Joe Holup,74.8,2.1,1.8,0.3,NA,NA,NA
Jim Bradley,74.4,2.3,1.3,0.1,NA,NA,NA
Sam Pellom,73.5,2.2,1.8,0.7,0,NA,NA
Derrick Brown,69.9,2.3,1.3,1,NA,NA,NA
Kevin Séraphin,69.6,2.3,1.7,0.8,0.2,0.1,-0.2
Kenny Battle,69.5,1.9,1.3,0.3,0.1,NA,NA
Shawne Williams,69.2,2.5,1.4,0.7,0.7,0,-0.4
Cheick Diallo,69.1,2.6,1.9,0.5,NA,NA,NA
