Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Don Reid,,2.9,2.8,2.7,2.3,1.1,1,0.9,-0.1,NA,NA,NA
Terry Teagle,85.5,3.1,3.1,2.7,2.1,1.3,1.3,0.7,0.2,0,-0.2,-0.8
Mike Scott,84.9,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA,NA,NA,NA
Corky Calhoun,84.8,3.1,2.5,2.3,2.2,2.1,1.3,1,0,NA,NA,NA
Toby Kimball,84.1,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0,NA,NA
Brad Lohaus,83.5,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1
George Johnson,82.4,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA,NA,NA
Chase Budinger,82.1,3.4,3.1,3,1.4,1.3,0.9,0.7,NA,NA,NA,NA
Robert Traylor,82.0,2.5,2.5,2.4,1.9,1.8,1.2,1,NA,NA,NA,NA
Derrick Williams,81.3,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA,NA,NA
Duane Ferrell,80.6,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,0,-0.1,-0.2
