Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Don Reid,,2.9,2.8,2.7,2.3,1.1,1,0.9,-0.1
Brad Lohaus,88.4,3.3,2.7,2.7,1.8,1.5,0.9,0.9,0.1
Mike Scott,84.9,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA
Corky Calhoun,84.8,3.1,2.5,2.3,2.2,2.1,1.3,1,0
Duane Ferrell,84.8,3.5,3.2,2.8,1.9,1.2,1,0.4,-0.1
Toby Kimball,84.2,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2
Earl Cureton,84.1,2.7,2.6,2.1,2,1.2,1,0.8,0.7
George Johnson,82.4,3.8,3.2,2.5,2.2,1,0.7,0.6,0
Chase Budinger,82.1,3.4,3.1,3,1.4,1.3,0.9,0.7,NA
Robert Traylor,82.0,2.5,2.5,2.4,1.9,1.8,1.2,1,NA
Anthony Tolliver,81.8,3.3,3.2,2.8,2.7,2.5,1.2,0.9,0
