Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1977-78,23,MIL,NBA,SG,10,NA,57,10,31,0.323,4,4,1,6,4,10,3,3,1,4,10,24
Career,NA,,NBA,,10,NA,57,10,31,0.323,4,4,1,6,4,10,3,3,1,4,10,24
