Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Taj Gibson,,7.2,5.7,5.4,5.2,5.1,4.8,4.7,4.5,4,3.3
Nicolas Batum,92.3,7.9,6.6,5.8,5.2,5,4.8,4.6,3.7,3.5,3.5
Mike Miller,92.0,7.4,7,5.3,5,4.8,4.5,4.2,4,3.9,3.9
Xavier McDaniel,91.5,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3,1.4
Clarence Weatherspoon,90.5,8.6,6,5.8,5.1,5,4.5,4,3.6,3.5,3.3
Joe Smith,89.6,6.8,6.3,6.1,5.5,4.7,4.4,4.4,3.7,3,2.6
Purvis Short,89.5,6.2,6,5.7,5.4,5.2,5,4.4,3.7,2.6,2.2
Eddie Johnson,89.1,7.4,6.5,5.6,5.5,5.3,4.3,4,3.9,3,1.8
Thaddeus Young,88.2,7.4,6.3,6.2,5.5,4.6,4.5,4.1,3.5,3.1,2.1
Rudy Gay,87.1,6.4,6.1,6,5.5,5,4.8,4,3.8,3.3,0.5
Junior Bridgeman,86.8,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1
