Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Joe Kopicki,,1.9,0.9,0.7,NA,NA
Keith Lee,91.3,1.9,1.1,0.8,NA,NA
Billy Schaeffer,89.4,1.9,0.8,0.5,NA,NA
Hank Whitney,83.6,1.8,1.1,0.5,NA,NA
Byron Houston,82.4,1.8,0.9,0.7,0.5,NA
Marty Byrnes,81.5,2.3,1,0.9,0,NA
Walter Herrmann,81.4,2.4,1,0.7,NA,NA
Bob Portman,80.2,1.9,1.2,0.8,0.5,NA
Lonny Baxter,80.1,1.5,0.9,0.7,-0.2,NA
Grady Lewis,79.8,2.4,1.1,0.8,NA,NA
Tellis Frank,79.7,2,1.1,0.6,0.3,0.1
