Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,TOV,PF,PTS
1968-69,26,HSM,ABA,PG,1,NA,17:00,2,7,0.286,0,0,NA,2,2,1,0,3,3,1,3,6
Career,NA,,ABA,,1,NA,17,2,7,0.286,0,0,NA,2,2,1,0,3,3,1,3,6
