Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1965-66,23,BAL,NBA,PG,8,NA,98,6.6,15.8,0.419,NA,NA,NA,6.6,15.8,0.419,3.3,4,0.818,NA,NA,5.5,3.3,NA,7.7,16.5
1967-68,25,HSM,ABA,PG,61,NA,2334,7.2,16.1,0.448,0.5,1.7,0.308,6.7,14.4,0.464,5.5,7.1,0.78,NA,NA,4.7,3.5,2.5,3.3,20.5
1968-69,26,TOT,ABA,PG,74,NA,3118,7.1,17.4,0.41,0.4,1.6,0.259,6.7,15.8,0.425,5.6,6.7,0.83,1.6,2.2,3.8,3.2,2.5,3,20.3
1968-69,26,HSM,ABA,PG,43,NA,1793,6.8,17.1,0.395,0.3,1.5,0.227,6.4,15.6,0.411,6.4,7.7,0.836,1.6,2.4,4,3.5,2.5,3.2,20.3
1968-69,26,NYA,ABA,PG,31,NA,1325,7.7,17.9,0.429,0.5,1.7,0.297,7.1,16.1,0.444,4.5,5.4,0.82,1.7,2,3.7,2.9,2.5,2.8,20.3
Career,NA,,TOT,,143,NA,5550,7.2,16.8,0.425,0.5,1.6,0.28,6.7,15.2,0.441,5.5,6.8,0.808,1.6,2.2,4.2,3.3,2.5,3.2,20.3
,NA,,ABA,,135,NA,5452,7.2,16.9,0.426,0.5,1.6,0.28,6.7,15.2,0.441,5.6,6.9,0.808,1.6,2.2,4.2,3.3,2.5,3.1,20.4
,NA,,NBA,,8,NA,98,6.6,15.8,0.419,NA,NA,NA,6.6,15.8,0.419,3.3,4,0.818,NA,NA,5.5,3.3,NA,7.7,16.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,HSM,ABA,,104,NA,4127,7,16.5,0.424,0.4,1.6,0.275,6.6,14.9,0.44,5.9,7.4,0.805,1.6,2.4,4.4,3.5,2.5,3.2,20.4
1 season,NA,NYA,ABA,,31,NA,1325,7.7,17.9,0.429,0.5,1.7,0.297,7.1,16.1,0.444,4.5,5.4,0.82,1.7,2,3.7,2.9,2.5,2.8,20.3
1 season,NA,BAL,NBA,,8,NA,98,6.6,15.8,0.419,NA,NA,NA,6.6,15.8,0.419,3.3,4,0.818,NA,NA,5.5,3.3,NA,7.7,16.5
