Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Willie Somerset,,9.4,5.3,0.1,NA,NA,NA,NA
Buddy Jeannette,74.7,8.2,4.9,2.6,NA,NA,NA,NA
Levern Tart,72.1,10.9,5.8,1.9,1.2,NA,NA,NA
Charles Beasley,63.4,8,4.1,2.6,0.7,NA,NA,NA
Al Cervi,62.8,9.3,5.3,5.3,2.1,NA,NA,NA
Stephen Chubin,62.5,6.9,4,1.7,NA,NA,NA,NA
Jamal Murray,60.7,5.5,5.1,1.3,NA,NA,NA,NA
Jim Spanarkel,60.6,5.5,5.2,1,0.4,0.2,NA,NA
Tomáš Satoranský,55.8,5,4.7,0.6,NA,NA,NA,NA
Dražen Petrović,55.0,8.4,7.7,2.8,2.5,NA,NA,NA
George Lehmann,54.6,7.3,5.9,2.5,2.3,0.7,0,0
