Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1965-66,23,BAL,NBA,PG,8,98,10.2,0.47,NA,0.256,NA,NA,NA,12.2,NA,NA,NA,0.1,0.1,0.1,0.056
1967-68,25,HSM,ABA,PG,61,2334,20.5,0.533,0.103,0.441,NA,NA,5.7,15.5,11.6,22.9,NA,6.6,2.8,9.4,0.193
1968-69,26,TOT,ABA,PG,74,3118,16.3,0.498,0.092,0.386,NA,NA,4.6,14,10.9,23,NA,3.3,1.9,5.3,0.081
1968-69,26,HSM,ABA,PG,43,1793,16.5,0.495,0.088,0.449,NA,NA,4.7,14.8,10.7,23,NA,1.8,1.4,3.2,0.085
1968-69,26,NYA,ABA,PG,31,1325,16.2,0.501,0.097,0.304,NA,NA,4.6,12.9,11,23.1,NA,1.5,0.6,2.1,0.076
Career,NA,,TOT,,143,5550,18,0.511,0.095,0.406,NA,NA,5.1,14.6,11.2,23,NA,10,4.8,14.8,0.128
,NA,,ABA,,135,5452,18.1,0.512,0.096,0.409,NA,NA,5.1,14.6,11.2,23,NA,9.9,4.7,14.7,0.129
,NA,,NBA,,8,98,10.2,0.47,NA,0.256,NA,NA,NA,12.2,NA,NA,NA,0.1,0.1,0.1,0.056
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,HSM,ABA,,104,4127,18.7,0.516,0.096,0.445,NA,NA,5.2,15.2,11.2,22.9,NA,8.4,4.2,12.6,0.146
1 season,NA,NYA,ABA,,31,1325,16.2,0.501,0.097,0.304,NA,NA,4.6,12.9,11,23.1,NA,1.5,0.6,2.1,0.076
1 season,NA,BAL,NBA,,8,98,10.2,0.47,NA,0.256,NA,NA,NA,12.2,NA,NA,NA,0.1,0.1,0.1,0.056
