,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1965-66,23,BAL,NBA,,4,,,,,,4,4,,,,,,,12
1967-68,25,HSM,ABA,,15,,3,,,,16,19,,,,,,,43
1968-69,26,TOT,ABA,,16,,3,,,,19,20,,,,,,,43
1968-69,26,HSM,ABA,,16,,2,,,,19,20,,,,,,,43
1968-69,26,NYA,ABA,,16,,3,,,,11,14,,,,,,,43
Career,,,TOT,,16,,,,,,19,20,,,,,,,43
,,,NBA,,4,,,,,,4,4,,,,,,,12
,,,ABA,,16,,3,,,,19,20,,,,,,,43
,,,,,,,,,,,,,,,,,,,
2 Seasons,,HSM,ABA,,16,,3,,,,19,20,,,,,,,43
1 Season,,NYA,ABA,,16,,3,,,,11,14,,,,,,,43
1 Season,,BAL,NBA,,4,,,,,,4,4,,,,,,,12
