Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1965-66,23,BAL,NBA,PG,8,,12.3,2.3,5.4,.419,,,,2.3,5.4,.419,.419,1.1,1.4,.818,,,1.9,1.1,,2.6,5.6
1966-67,24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1967-68,25,HSM,ABA,PG,61,,38.3,7.7,17.1,.448,0.5,1.8,.308,7.1,15.3,.464,.464,5.9,7.5,.780,,,5.0,3.7,2.7,3.5,21.7
1968-69,26,TOT,ABA,PG,74,,42.1,8.4,20.4,.410,0.5,1.9,.259,7.9,18.5,.425,.422,6.5,7.9,.830,1.9,2.6,4.5,3.8,2.9,3.5,23.8
1968-69,26,HSM,ABA,PG,43,,41.7,7.8,19.8,.395,0.4,1.7,.227,7.4,18.1,.411,.405,7.4,8.9,.836,1.8,2.7,4.6,4.0,2.9,3.7,23.5
1968-69,26,NYA,ABA,PG,31,,42.7,9.1,21.2,.429,0.6,2.1,.297,8.5,19.1,.444,.444,5.3,6.5,.820,2.0,2.4,4.4,3.4,3.0,3.3,24.1
Career,NA,,TOT,,143,,38.8,7.7,18.1,.425,0.5,1.8,.280,7.2,16.4,.441,.439,6.0,7.4,.808,1.9,2.6,4.6,3.6,2.8,3.4,21.9
,NA,,ABA,,135,,40.4,8.0,18.9,.426,0.5,1.8,.280,7.5,17.1,.441,.439,6.2,7.7,.808,1.9,2.6,4.7,3.7,2.8,3.5,22.8
,NA,,NBA,,8,,12.3,2.3,5.4,.419,,,,2.3,5.4,.419,.419,1.1,1.4,.818,,,1.9,1.1,,2.6,5.6
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,NA,HSM,ABA,,104,,39.7,7.7,18.2,.424,0.5,1.8,.275,7.3,16.5,.440,.437,6.5,8.1,.805,1.8,2.7,4.8,3.8,2.8,3.5,22.5
1 season,NA,NYA,ABA,,31,,42.7,9.1,21.2,.429,0.6,2.1,.297,8.5,19.1,.444,.444,5.3,6.5,.820,2.0,2.4,4.4,3.4,3.0,3.3,24.1
1 season,NA,BAL,NBA,,8,,12.3,2.3,5.4,.419,,,,2.3,5.4,.419,.419,1.1,1.4,.818,,,1.9,1.1,,2.6,5.6
