,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,24,STL,NBA,,6,13,,,,,4,5,,,7,,,,5,16
1963-64,25,STL,NBA,,5,,,,,,1,2,,,,,,,2,11
1964-65,26,STL,NBA,,1,8,,,,,2,4,,,5,2,,,2,4
1968-69,30,BAL,NBA,,1,2,,,,,0,0,,,2,1,,,3,2
1969-70,31,INA,ABA,,11,,3,,,,5,9,,,,,,,,25
1970-71,32,TOT,ABA,,2,8,0,2,2,6,2,3,0,3,3,6,0,2,6,6
1970-71,32,DNR,ABA,,2,8,0,2,2,6,2,3,0,3,3,6,0,2,6,6
Career,,,TOT,,11,,,,,,5,9,,,,,,,,25
,,,NBA,,6,,,,,,4,5,,,,,,,5,16
,,,ABA,,11,,3,,,,5,9,,,,,,,,25
,,,,,,,,,,,,,,,,,,,,
3 Seasons,,STL,NBA,,6,,,,,,4,5,,,,,,,5,16
1 Season,,INA,ABA,,11,,3,,,,5,9,,,,,,,,25
1 Season,,DNR,ABA,,2,8,0,2,2,6,2,3,0,3,3,6,0,2,6,6
1 Season,,BAL,NBA,,1,2,,,,,0,0,,,2,1,,,3,2
