,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,24,STL,NBA,,14,,,,,,8,,,,,,,,,29
1963-64,25,STL,NBA,,8,,,,,,7,8,,,,,,,,19
1964-65,26,STL,NBA,,9,20,,,,,6,8,,,7,,,,,24
1965-66,27,TOT,NBA,,8,,,,,,7,11,,,,,,,,21
1965-66,27,STL,NBA,,7,,,,,,7,8,,,,,,,,21
1965-66,27,DET,NBA,,8,,,,,,6,11,,,,,,,,20
1966-67,28,BAL,NBA,,11,,,,,,7,9,,,,,,,,27
1967-68,29,SDR,NBA,,10,,,,,,9,17,,,,,,,,25
1968-69,30,BAL,NBA,,9,,,,,,7,8,,,,,,,,18
1969-70,31,INA,ABA,,11,,6,,,,10,12,,,,,,,,31
1970-71,32,TOT,ABA,,12,,3,,,,6,8,,,,,,,,29
1970-71,32,INA,ABA,,9,,2,,,,4,6,,,,,,,,20
1970-71,32,DNR,ABA,,12,,3,,,,6,8,,,,,,,,29
1971-72,33,INA,ABA,,8,,2,,,,2,3,,,,,,,,19
Career,,,TOT,,14,,,,,,10,,,,,,,,,31
,,,NBA,,14,,,,,,9,,,,,,,,,29
,,,ABA,,12,,6,,,,10,12,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,
4 Seasons,,STL,NBA,,14,,,,,,8,,,,,,,,,29
3 Seasons,,INA,ABA,,11,,6,,,,10,12,,,,,,,,31
2 Seasons,,BAL,NBA,,11,,,,,,7,9,,,,,,,,27
1 Season,,SDR,NBA,,10,,,,,,9,17,,,,,,,,25
1 Season,,DET,NBA,,8,,,,,,6,11,,,,,,,,20
1 Season,,DNR,ABA,,12,,3,,,,6,8,,,,,,,,29
