Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,24,STL,NBA,SG,77,2692,11.7,0.474,NA,0.304,NA,NA,NA,NA,NA,NA,NA,NA,1.3,3.3,4.6,0.082
1963-64,25,STL,NBA,SG,74,1367,10.1,0.437,NA,0.228,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,1.2,1,0.034
1964-65,26,STL,NBA,SG,41,777,10.1,0.419,NA,0.224,NA,NA,NA,14.1,NA,NA,NA,NA,-0.4,0.8,0.4,0.022
1965-66,27,TOT,NBA,PG,76,1617,10.8,0.436,NA,0.304,NA,NA,NA,16.3,NA,NA,NA,NA,-0.3,1.5,1.1,0.034
1965-66,27,STL,NBA,PG,31,691,11.8,0.466,NA,0.354,NA,NA,NA,16.5,NA,NA,NA,NA,0.3,0.5,0.9,0.059
1965-66,27,DET,NBA,PG,45,926,10,0.415,NA,0.27,NA,NA,NA,16.2,NA,NA,NA,NA,-0.7,0.9,0.3,0.015
1966-67,28,BAL,NBA,PG,53,1214,10.6,0.447,NA,0.23,NA,NA,NA,14.3,NA,NA,NA,NA,-0.1,0.8,0.7,0.026
1967-68,29,SDR,NBA,PG,75,1883,11.4,0.463,NA,0.334,NA,NA,NA,18.4,NA,NA,NA,NA,0.3,1.4,1.7,0.044
1968-69,30,BAL,NBA,PG,30,504,11.4,0.469,NA,0.371,NA,NA,NA,17.5,NA,NA,NA,NA,0.2,0.7,1,0.091
1969-70,31,INA,ABA,SG,77,2374,10.4,0.473,0.33,0.289,NA,NA,3.3,17.6,NA,14.5,17.4,NA,0.5,1.9,2.5,0.05
1970-71,32,TOT,ABA,PG,67,1303,9.3,0.441,0.296,0.27,NA,NA,3.9,15.4,NA,12.5,17.6,NA,-0.8,1.1,0.3,0.01
1970-71,32,INA,ABA,PG,43,619,7.9,0.403,0.311,0.253,NA,NA,4.5,16.7,NA,12.7,18.6,NA,-0.9,0.6,-0.3,-0.025
1970-71,32,DNR,ABA,PG,24,684,10.5,0.477,0.282,0.286,NA,NA,3.4,14.2,NA,12.2,16.7,NA,0.1,0.5,0.6,0.042
1971-72,33,INA,ABA,PG,19,194,4.9,0.363,0.402,0.172,3.9,5,4.5,11.1,NA,11.4,21,NA,-0.6,0.2,-0.4,-0.11
Career,NA,,TOT,,589,13925,10.7,0.453,0.091,0.283,3.9,5,3.6,16.4,NA,13.6,17.7,NA,-0.1,12.8,12.7,0.044
,NA,,NBA,,426,10054,11,0.452,NA,0.286,NA,NA,NA,16.4,NA,NA,NA,NA,0.8,9.6,10.4,0.05
,NA,,ABA,,163,3871,9.8,0.456,0.323,0.275,3.9,5,3.6,16.5,NA,13.6,17.7,NA,-0.9,3.2,2.3,0.028
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,STL,NBA,,223,5527,11.1,0.455,NA,0.277,NA,NA,NA,15.2,NA,NA,NA,NA,1,5.8,6.8,0.059
3 seasons,NA,INA,ABA,,139,3187,9.6,0.451,0.332,0.273,3.9,5,3.6,17,NA,13.9,17.9,NA,-1,2.7,1.7,0.025
2 seasons,NA,BAL,NBA,,83,1718,10.8,0.453,NA,0.27,NA,NA,NA,15.2,NA,NA,NA,NA,0.1,1.5,1.6,0.045
1 season,NA,SDR,NBA,,75,1883,11.4,0.463,NA,0.334,NA,NA,NA,18.4,NA,NA,NA,NA,0.3,1.4,1.7,0.044
1 season,NA,DET,NBA,,45,926,10,0.415,NA,0.27,NA,NA,NA,16.2,NA,NA,NA,NA,-0.7,0.9,0.3,0.015
1 season,NA,DNR,ABA,,24,684,10.5,0.477,0.282,0.286,NA,NA,3.4,14.2,NA,12.2,16.7,NA,0.1,0.5,0.6,0.042
