Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,24,STL,NBA,SG,77,NA,2692,4.8,11.2,0.43,NA,NA,NA,4.8,11.2,0.43,2.4,3.4,0.71,NA,NA,4.8,4.3,NA,NA,2.2,12
1963-64,25,STL,NBA,SG,74,NA,1367,5.5,13.3,0.412,NA,NA,NA,5.5,13.3,0.412,1.8,3,0.609,NA,NA,4.1,3.8,NA,NA,2.8,12.8
1964-65,26,STL,NBA,SG,41,NA,777,5.6,14.5,0.388,NA,NA,NA,5.6,14.5,0.388,2.1,3.2,0.643,NA,NA,4.2,3.5,NA,NA,2.6,13.3
1965-66,27,TOT,NBA,PG,76,NA,1617,5.4,13.5,0.401,NA,NA,NA,5.4,13.5,0.401,2.5,4.1,0.614,NA,NA,4.5,4.4,NA,NA,3,13.3
1965-66,27,STL,NBA,PG,31,NA,691,5.4,12.7,0.428,NA,NA,NA,5.4,12.7,0.428,2.8,4.5,0.628,NA,NA,4.7,4.3,NA,NA,3,13.6
1965-66,27,DET,NBA,PG,45,NA,926,5.4,14.1,0.383,NA,NA,NA,5.4,14.1,0.383,2.3,3.8,0.602,NA,NA,4.4,4.4,NA,NA,3,13.1
1966-67,28,BAL,NBA,PG,53,NA,1214,5.5,13.3,0.418,NA,NA,NA,5.5,13.3,0.418,2,3.1,0.641,NA,NA,4.7,4,NA,NA,2.4,13
1967-68,29,SDR,NBA,PG,75,NA,1883,5.6,13.4,0.421,NA,NA,NA,5.6,13.4,0.421,2.9,4.5,0.658,NA,NA,3.3,5,NA,NA,2.7,14.2
1968-69,30,BAL,NBA,PG,30,NA,504,5.4,12.5,0.434,NA,NA,NA,5.4,12.5,0.434,2.8,4.6,0.6,NA,NA,3.8,5.1,NA,NA,4.5,13.6
1969-70,31,INA,ABA,SG,77,NA,2374,4.9,12.5,0.394,1.1,4.1,0.261,3.9,8.4,0.46,2.4,3.6,0.664,0.9,1.7,2.6,4.7,NA,2.4,3,13.3
1970-71,32,TOT,ABA,PG,67,NA,1303,5,13.7,0.365,0.9,4.1,0.218,4.1,9.6,0.427,2.7,3.7,0.716,1.3,1.9,3.2,4.4,NA,2.2,2.9,13.5
1970-71,32,INA,ABA,PG,43,NA,619,4.7,14,0.332,0.8,4.4,0.187,3.8,9.7,0.398,2.4,3.5,0.689,1.6,2,3.6,4.8,NA,2.3,3,12.6
1970-71,32,DNR,ABA,PG,24,NA,684,5.3,13.4,0.396,0.9,3.8,0.25,4.4,9.6,0.454,2.8,3.8,0.74,1.1,1.8,2.8,4.1,NA,2.1,2.9,14.4
1971-72,33,INA,ABA,PG,19,NA,194,5.2,16.1,0.322,0.7,6.5,0.114,4.5,9.6,0.462,1.5,2.8,0.533,1.5,2,3.5,3,NA,2.2,3,12.6
Career,NA,,TOT,,589,NA,13925,5.2,12.9,0.406,1,4.2,0.236,5,11.7,0.423,2.4,3.7,0.658,1.1,1.8,3.9,4.4,NA,2.3,2.8,13.1
,NA,,NBA,,426,NA,10054,5.3,12.8,0.416,NA,NA,NA,5.3,12.8,0.416,2.4,3.7,0.651,NA,NA,4.3,4.3,NA,NA,2.7,13.1
,NA,,ABA,,163,NA,3871,5,13.1,0.38,1,4.2,0.236,4,8.9,0.448,2.4,3.6,0.677,1.1,1.8,2.9,4.5,NA,2.3,3,13.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,STL,NBA,,223,NA,5527,5.2,12.4,0.418,NA,NA,NA,5.2,12.4,0.418,2.3,3.4,0.665,NA,NA,4.5,4.1,NA,NA,2.5,12.6
3 seasons,NA,INA,ABA,,139,NA,3187,4.9,13,0.376,1,4.3,0.233,3.9,8.7,0.447,2.3,3.5,0.662,1.1,1.8,2.9,4.6,NA,2.3,3,13.1
2 seasons,NA,BAL,NBA,,83,NA,1718,5.5,13,0.423,NA,NA,NA,5.5,13,0.423,2.2,3.5,0.625,NA,NA,4.4,4.3,NA,NA,3,13.2
1 season,NA,SDR,NBA,,75,NA,1883,5.6,13.4,0.421,NA,NA,NA,5.6,13.4,0.421,2.9,4.5,0.658,NA,NA,3.3,5,NA,NA,2.7,14.2
1 season,NA,DET,NBA,,45,NA,926,5.4,14.1,0.383,NA,NA,NA,5.4,14.1,0.383,2.3,3.8,0.602,NA,NA,4.4,4.4,NA,NA,3,13.1
1 season,NA,DNR,ABA,,24,NA,684,5.3,13.4,0.396,0.9,3.8,0.25,4.4,9.6,0.454,2.8,3.8,0.74,1.1,1.8,2.8,4.1,NA,2.1,2.9,14.4
