Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,24,STL,NBA,SG,11,314,7.7,0.444,NA,0.286,NA,NA,NA,14.6,NA,NA,NA,NA,0,0.3,0.3,0.045
1963-64,25,STL,NBA,SG,5,61,11.8,0.516,NA,0.217,NA,NA,NA,12.9,NA,NA,NA,NA,0.1,0,0.1,0.101
1964-65,26,STL,NBA,SG,4,36,1.6,0.235,NA,0.364,NA,NA,NA,6.9,NA,NA,NA,NA,-0.2,0,-0.1,-0.14
1968-69,30,BAL,NBA,PG,1,10,7.1,0.5,NA,0,NA,NA,NA,12.9,NA,NA,NA,NA,0,0,0,0.043
1969-70,31,INA,ABA,SG,14,317,4,0.401,0.398,0.466,NA,NA,4.5,10.1,NA,13.1,14.5,NA,-0.4,0.5,0,0.001
Career,NA,,TOT,,35,738,6.2,0.421,0.174,0.358,NA,NA,4.5,12.1,NA,13.1,14.5,NA,-0.5,0.8,0.3,0.021
,NA,,NBA,,21,421,7.8,0.438,NA,0.274,NA,NA,NA,13.7,NA,NA,NA,NA,-0.1,0.4,0.3,0.037
,NA,,ABA,,14,317,4,0.401,0.398,0.466,NA,NA,4.5,10.1,NA,13.1,14.5,NA,-0.4,0.5,0,0.001
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,STL,NBA,,20,411,7.8,0.437,NA,0.279,NA,NA,NA,13.7,NA,NA,NA,NA,-0.1,0.4,0.3,0.037
1 season,NA,INA,ABA,,14,317,4,0.401,0.398,0.466,NA,NA,4.5,10.1,NA,13.1,14.5,NA,-0.4,0.5,0,0.001
1 season,NA,BAL,NBA,,1,10,7.1,0.5,NA,0,NA,NA,NA,12.9,NA,NA,NA,NA,0,0,0,0.043
