Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,24,STL,NBA,SG,77,NA,35,4.7,10.9,0.43,NA,NA,NA,4.7,10.9,0.43,0.43,2.4,3.3,0.71,NA,NA,4.7,4.2,NA,NA,2.2,11.7
1963-64,25,STL,NBA,SG,74,NA,18.5,2.8,6.8,0.412,NA,NA,NA,2.8,6.8,0.412,0.412,0.9,1.6,0.609,NA,NA,2.1,2,NA,NA,1.4,6.6
1964-65,26,STL,NBA,SG,41,NA,19,3,7.6,0.388,NA,NA,NA,3,7.6,0.388,0.388,1.1,1.7,0.643,NA,NA,2.2,1.9,NA,NA,1.4,7
1965-66,27,TOT,NBA,PG,76,NA,21.3,3.2,8,0.401,NA,NA,NA,3.2,8,0.401,0.401,1.5,2.4,0.614,NA,NA,2.7,2.6,NA,NA,1.8,7.9
1965-66,27,STL,NBA,PG,31,NA,22.3,3.4,7.8,0.428,NA,NA,NA,3.4,7.8,0.428,0.428,1.7,2.8,0.628,NA,NA,2.9,2.7,NA,NA,1.9,8.5
1965-66,27,DET,NBA,PG,45,NA,20.6,3.1,8.1,0.383,NA,NA,NA,3.1,8.1,0.383,0.383,1.3,2.2,0.602,NA,NA,2.5,2.5,NA,NA,1.7,7.5
1966-67,28,BAL,NBA,PG,53,NA,22.9,3.5,8.4,0.418,NA,NA,NA,3.5,8.4,0.418,0.418,1.2,1.9,0.641,NA,NA,3,2.6,NA,NA,1.5,8.3
1967-68,29,SDR,NBA,PG,75,NA,25.1,3.9,9.3,0.421,NA,NA,NA,3.9,9.3,0.421,0.421,2.1,3.1,0.658,NA,NA,2.3,3.5,NA,NA,1.9,9.9
1968-69,30,BAL,NBA,PG,30,NA,16.8,2.5,5.8,0.434,NA,NA,NA,2.5,5.8,0.434,0.434,1.3,2.2,0.6,NA,NA,1.8,2.4,NA,NA,2.1,6.4
1969-70,31,INA,ABA,SG,77,NA,30.8,4.2,10.7,0.394,0.9,3.5,0.261,3.3,7.2,0.46,0.438,2.1,3.1,0.664,0.8,1.5,2.2,4.1,NA,2,2.5,11.4
1970-71,32,TOT,ABA,PG,67,NA,19.4,2.7,7.4,0.365,0.5,2.2,0.218,2.2,5.2,0.427,0.397,1.4,2,0.716,0.7,1,1.7,2.4,NA,1.2,1.6,7.3
1970-71,32,INA,ABA,PG,43,NA,14.4,1.9,5.6,0.332,0.3,1.7,0.187,1.5,3.9,0.398,0.361,1,1.4,0.689,0.6,0.8,1.4,1.9,NA,0.9,1.2,5
1970-71,32,DNR,ABA,PG,24,NA,28.5,4.2,10.6,0.396,0.8,3,0.25,3.5,7.6,0.454,0.431,2.3,3,0.74,0.8,1.4,2.3,3.2,NA,1.7,2.3,11.4
1971-72,33,INA,ABA,PG,19,NA,10.2,1.5,4.6,0.322,0.2,1.8,0.114,1.3,2.7,0.462,0.345,0.4,0.8,0.533,0.4,0.6,1,0.8,NA,0.6,0.8,3.6
Career,NA,,TOT,,589,NA,23.6,3.4,8.5,0.406,0.7,2.8,0.236,3.3,7.7,0.423,0.416,1.6,2.4,0.658,0.7,1.2,2.5,2.9,NA,1.5,1.8,8.6
,NA,,NBA,,426,NA,23.6,3.5,8.4,0.416,NA,NA,NA,3.5,8.4,0.416,0.416,1.6,2.4,0.651,NA,NA,2.8,2.8,NA,NA,1.8,8.6
,NA,,ABA,,163,NA,23.7,3.3,8.6,0.38,0.7,2.8,0.236,2.6,5.8,0.448,0.418,1.6,2.4,0.677,0.7,1.2,1.9,3,NA,1.5,2,8.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,STL,NBA,,223,NA,24.8,3.6,8.5,0.418,NA,NA,NA,3.6,8.5,0.418,0.418,1.6,2.4,0.665,NA,NA,3.1,2.8,NA,NA,1.7,8.7
3 seasons,NA,INA,ABA,,139,NA,22.9,3.1,8.3,0.376,0.6,2.7,0.233,2.5,5.5,0.447,0.414,1.5,2.3,0.662,0.7,1.1,1.8,3,NA,1.5,1.9,8.4
2 seasons,NA,BAL,NBA,,83,NA,20.7,3.2,7.5,0.423,NA,NA,NA,3.2,7.5,0.423,0.423,1.3,2,0.625,NA,NA,2.5,2.5,NA,NA,1.7,7.6
1 season,NA,SDR,NBA,,75,NA,25.1,3.9,9.3,0.421,NA,NA,NA,3.9,9.3,0.421,0.421,2.1,3.1,0.658,NA,NA,2.3,3.5,NA,NA,1.9,9.9
1 season,NA,DET,NBA,,45,NA,20.6,3.1,8.1,0.383,NA,NA,NA,3.1,8.1,0.383,0.383,1.3,2.2,0.602,NA,NA,2.5,2.5,NA,NA,1.7,7.5
1 season,NA,DNR,ABA,,24,NA,28.5,4.2,10.6,0.396,0.8,3,0.25,3.5,7.6,0.454,0.431,2.3,3,0.74,0.8,1.4,2.3,3.2,NA,1.7,2.3,11.4
