Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,24,STL,NBA,SG,11,NA,314,31,77,0.403,NA,NA,NA,31,77,0.403,0.403,15,22,0.682,NA,NA,27,36,NA,NA,28,77
1963-64,25,STL,NBA,SG,5,NA,61,12,23,0.522,NA,NA,NA,12,23,0.522,0.522,2,5,0.4,NA,NA,5,5,NA,NA,8,26
1964-65,26,STL,NBA,SG,4,NA,36,2,11,0.182,NA,NA,NA,2,11,0.182,0.182,2,4,0.5,NA,NA,7,2,NA,NA,3,6
1968-69,30,BAL,NBA,PG,1,NA,10,1,2,0.5,NA,NA,NA,1,2,0.5,0.5,0,0,NA,NA,NA,2,1,NA,NA,3,2
1969-70,31,INA,ABA,SG,14,NA,317,28,88,0.318,8,35,0.229,20,53,0.377,0.364,21,41,0.512,NA,NA,33,25,NA,16,41,85
Career,NA,,TOT,,35,NA,738,74,201,0.368,8,35,0.229,66,166,0.398,0.388,40,72,0.556,NA,NA,74,69,NA,16,83,196
,NA,,NBA,,21,NA,421,46,113,0.407,NA,NA,NA,46,113,0.407,0.407,19,31,0.613,NA,NA,41,44,NA,NA,42,111
,NA,,ABA,,14,NA,317,28,88,0.318,8,35,0.229,20,53,0.377,0.364,21,41,0.512,NA,NA,33,25,NA,16,41,85
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,STL,NBA,,20,NA,411,45,111,0.405,NA,NA,NA,45,111,0.405,0.405,19,31,0.613,NA,NA,39,43,NA,NA,39,109
1 season,NA,INA,ABA,,14,NA,317,28,88,0.318,8,35,0.229,20,53,0.377,0.364,21,41,0.512,NA,NA,33,25,NA,16,41,85
1 season,NA,BAL,NBA,,1,NA,10,1,2,0.5,NA,NA,NA,1,2,0.5,0.5,0,0,NA,NA,NA,2,1,NA,NA,3,2
