Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,24,STL,NBA,SG,11,NA,314,3.6,8.8,0.403,NA,NA,NA,3.6,8.8,0.403,1.7,2.5,0.682,NA,NA,3.1,4.1,NA,NA,3.2,8.8
1963-64,25,STL,NBA,SG,5,NA,61,7.1,13.6,0.522,NA,NA,NA,7.1,13.6,0.522,1.2,3,0.4,NA,NA,3,3,NA,NA,4.7,15.3
1964-65,26,STL,NBA,SG,4,NA,36,2,11,0.182,NA,NA,NA,2,11,0.182,2,4,0.5,NA,NA,7,2,NA,NA,3,6
1968-69,30,BAL,NBA,PG,1,NA,10,3.6,7.2,0.5,NA,NA,NA,3.6,7.2,0.5,0,0,NA,NA,NA,7.2,3.6,NA,NA,10.8,7.2
1969-70,31,INA,ABA,SG,14,NA,317,3.2,10,0.318,0.9,4,0.229,2.3,6,0.377,2.4,4.7,0.512,NA,NA,3.7,2.8,NA,1.8,4.7,9.7
Career,NA,,TOT,,35,NA,738,3.6,9.8,0.368,0.9,4,0.229,3.2,8.1,0.398,2,3.5,0.556,NA,NA,3.6,3.4,NA,1.8,4,9.6
,NA,,NBA,,21,NA,421,3.9,9.7,0.407,NA,NA,NA,3.9,9.7,0.407,1.6,2.7,0.613,NA,NA,3.5,3.8,NA,NA,3.6,9.5
,NA,,ABA,,14,NA,317,3.2,10,0.318,0.9,4,0.229,2.3,6,0.377,2.4,4.7,0.512,NA,NA,3.7,2.8,NA,1.8,4.7,9.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,STL,NBA,,20,NA,411,3.9,9.7,0.405,NA,NA,NA,3.9,9.7,0.405,1.7,2.7,0.613,NA,NA,3.4,3.8,NA,NA,3.4,9.5
1 season,NA,INA,ABA,,14,NA,317,3.2,10,0.318,0.9,4,0.229,2.3,6,0.377,2.4,4.7,0.512,NA,NA,3.7,2.8,NA,1.8,4.7,9.7
1 season,NA,BAL,NBA,,1,NA,10,3.6,7.2,0.5,NA,NA,NA,3.6,7.2,0.5,0,0,NA,NA,NA,7.2,3.6,NA,NA,10.8,7.2
