Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Fred Hetzel,,5.1,4.5,2.9,2,0.9,0.5,NA,NA,NA,NA
Bob Harris,91.2,5,4.3,3.4,1.9,1,NA,NA,NA,NA,NA
Ed Conlin,88.8,4.7,4.3,2,2,0.7,0.5,-0.1,NA,NA,NA
Cornell Warner,87.2,4.7,4.3,3.5,1.7,0.6,0.6,0.3,NA,NA,NA
Tom Boswell,84.7,5.6,3.7,2.7,2.4,0.6,0.2,NA,NA,NA,NA
Larry McNeill,84.2,4.4,4.3,2.3,1.5,0.7,0.1,NA,NA,NA,NA
Albert King,83.3,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0,-0.1,NA
Scott May,83.3,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,NA,NA,NA
Pat Garrity,83.1,5.1,4.9,2.8,2.5,1.2,1.1,1.1,0.2,0,-0.2
George Irvine,82.8,5.5,3.7,3.2,2.5,1.2,0,NA,NA,NA,NA
Dave Meyers,82.5,5,3.9,2.4,2.2,NA,NA,NA,NA,NA,NA
