Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1965-66,23,SFW,NBA,SF,56,NA,722,160,401,0.399,63,92,0.685,290,27,121,383
1966-67,24,SFW,NBA,PF,77,NA,2123,373,932,0.4,192,237,0.81,639,111,228,938
1967-68,25,SFW,NBA,SF,77,NA,2394,533,1287,0.414,395,474,0.833,546,131,262,1461
1968-69,26,TOT,NBA,SF,84,NA,2276,456,1047,0.436,299,357,0.838,613,112,287,1211
1968-69,26,MIL,NBA,SF,53,NA,1591,316,760,0.416,211,252,0.837,473,83,193,843
1968-69,26,CIN,NBA,SF,31,NA,685,140,287,0.488,88,105,0.838,140,29,94,368
1969-70,27,PHI,NBA,SF,63,NA,757,156,323,0.483,71,85,0.835,207,44,110,383
1970-71,28,LAL,NBA,SF,59,NA,613,111,256,0.434,60,77,0.779,149,37,99,282
Career,NA,,NBA,,416,NA,8885,1789,4246,0.421,1080,1322,0.817,2444,462,1107,4658
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SFW,NBA,,210,NA,5239,1066,2620,0.407,650,803,0.809,1475,269,611,2782
1 season,NA,PHI,NBA,,63,NA,757,156,323,0.483,71,85,0.835,207,44,110,383
1 season,NA,LAL,NBA,,59,NA,613,111,256,0.434,60,77,0.779,149,37,99,282
1 season,NA,MIL,NBA,,53,NA,1591,316,760,0.416,211,252,0.837,473,83,193,843
1 season,NA,CIN,NBA,,31,NA,685,140,287,0.488,88,105,0.838,140,29,94,368
