Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Fred Hetzel,,5.1,4.5,2.9,2,0.9,0.5
Bob Harris,91.2,5,4.3,3.4,1.9,1,NA
Brandan Wright,90.3,5.1,4.1,3.5,1.9,1.1,0.8
Pat Garrity,89.8,5.1,4.9,2.8,2.5,1.1,0
Ed Conlin,89.5,4.7,4.3,2,2,0.7,0.5
Kwame Brown,88.8,4.9,3.6,2.5,1.9,0.8,0.6
Cornell Warner,88.6,4.7,4.3,3.5,1.7,0.6,0.6
Danny Fortson,88.4,4.5,4.4,3.5,1.9,1.1,0.2
Shandon Anderson,88.2,4.9,4.2,3.9,2,1.2,0.4
Amir Johnson,87.5,5.6,4.5,3,2.7,0.5,0.2
Gar Heard,87.1,5,4.5,2.4,2.1,0.1,-0.3
