,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1965-66,23,SFW,NBA,,17,,8,10,,,,35
1966-67,24,SFW,NBA,,15,,7,10,,,,34
1967-68,25,SFW,NBA,,13,29,16,18,16,5,6,39
1968-69,26,TOT,NBA,,13,,11,12,,,,32
1968-69,26,MIL,NBA,,12,,10,12,,,,31
1968-69,26,CIN,NBA,,13,,11,11,,,,32
1969-70,27,PHI,NBA,,10,16,9,10,11,4,6,25
1970-71,28,LAL,NBA,,7,13,7,9,10,,6,21
Career,,,,,17,,16,18,,,,39
3 Seasons,,SFW,NBA,,17,,16,18,,,,39
1 Season,,PHI,NBA,,10,16,9,10,11,4,6,25
1 Season,,LAL,NBA,,7,13,7,9,10,,6,21
1 Season,,MIL,NBA,,12,,10,12,,,,31
1 Season,,CIN,NBA,,13,,11,11,,,,32
