Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1965-66,23,SFW,NBA,SF,56,NA,722,8,20,0.399,3.1,4.6,0.685,14.5,1.3,6,19.1
1966-67,24,SFW,NBA,PF,77,NA,2123,6.3,15.8,0.4,3.3,4,0.81,10.8,1.9,3.9,15.9
1967-68,25,SFW,NBA,SF,77,NA,2394,8,19.4,0.414,5.9,7.1,0.833,8.2,2,3.9,22
1968-69,26,TOT,NBA,SF,84,NA,2276,7.2,16.6,0.436,4.7,5.6,0.838,9.7,1.8,4.5,19.2
1968-69,26,MIL,NBA,SF,53,NA,1591,7.2,17.2,0.416,4.8,5.7,0.837,10.7,1.9,4.4,19.1
1968-69,26,CIN,NBA,SF,31,NA,685,7.4,15.1,0.488,4.6,5.5,0.838,7.4,1.5,4.9,19.3
1969-70,27,PHI,NBA,SF,63,NA,757,7.4,15.4,0.483,3.4,4,0.835,9.8,2.1,5.2,18.2
1970-71,28,LAL,NBA,SF,59,NA,613,6.5,15,0.434,3.5,4.5,0.779,8.8,2.2,5.8,16.6
Career,NA,,NBA,,416,NA,8885,7.2,17.2,0.421,4.4,5.4,0.817,9.9,1.9,4.5,18.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SFW,NBA,,210,NA,5239,7.3,18,0.407,4.5,5.5,0.809,10.1,1.8,4.2,19.1
1 season,NA,PHI,NBA,,63,NA,757,7.4,15.4,0.483,3.4,4,0.835,9.8,2.1,5.2,18.2
1 season,NA,LAL,NBA,,59,NA,613,6.5,15,0.434,3.5,4.5,0.779,8.8,2.2,5.8,16.6
1 season,NA,MIL,NBA,,53,NA,1591,7.2,17.2,0.416,4.8,5.7,0.837,10.7,1.9,4.4,19.1
1 season,NA,CIN,NBA,,31,NA,685,7.4,15.1,0.488,4.6,5.5,0.838,7.4,1.5,4.9,19.3
