Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Leo Barnhorst,,4.7,4.6,3.6,1.3,NA
Stephen Jackson,91.5,4.8,4.4,3.1,0.9,-0.1
Chuck Gilmur,91.3,4.6,4.5,4.3,1.7,-0.1
Luc Mbah a Moute,87.0,4.8,4.7,4,2.4,0.5
George Stone,86.5,4.6,4.6,4.5,0.2,NA
Tom Van Arsdale,86.3,5,4.8,3.1,1.4,1
Michael Brooks,85.7,4.9,4.7,4.5,2.4,0
Danny Fortson,85.5,4.5,4.4,3.5,1.9,1.1
Bob Harris,85.3,5,4.3,3.4,1.9,1
Marcus Morris,85.3,5.4,4.2,4,1.8,-0.2
Kristaps Porziņģis,84.8,4.5,4.4,3.2,NA,NA
