Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Leo Barnhorst,,4.7,4.6,3.6,1.3,NA,NA,NA
Chuck Gilmur,91.3,4.6,4.5,4.3,1.7,-0.1,NA,NA
Sly Williams,86.8,5.1,4.2,3.8,0.5,-0.1,-0.1,-0.2
George Stone,86.5,4.6,4.6,4.5,0.2,NA,NA,NA
Cornell Warner,85.8,4.7,4.3,3.5,1.7,0.6,0.6,0.3
Michael Brooks,85.4,4.9,4.7,4.5,2.4,0,0,NA
Bob Harris,85.3,5,4.3,3.4,1.9,1,NA,NA
Kristaps Porziņģis,84.8,4.5,4.4,3.2,NA,NA,NA,NA
Jared Sullinger,84.7,4.8,4,3.9,2.7,-0.1,NA,NA
Randolph Mahaffey,84.2,5.7,4.7,3.7,2.6,NA,NA,NA
Larry Nance,84.2,5.8,4.9,3.5,2.2,NA,NA,NA
