Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1949-50,25,CHS,NBA,SF,67,NA,NA,0.394,0.259,NA,NA,NA,NA,NA,0.9,2.8,3.6,NA
1950-51,26,INO,NBA,SF,68,NA,NA,0.377,0.177,NA,NA,NA,NA,NA,-0.7,1.9,1.3,NA
1951-52,27,INO,NBA,SF,66,2344,15.9,0.419,0.208,NA,NA,NA,NA,NA,1.3,3.5,4.7,0.097
1952-53,28,INO,NBA,SF,71,2871,16,0.421,0.25,NA,NA,NA,NA,NA,1.1,3.5,4.6,0.076
1953-54,29,TOT,NBA,SF,72,2064,NA,0.368,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-54,29,BLB,NBA,SF,55,1879,NA,0.381,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-54,29,FTW,NBA,SF,17,185,NA,0.243,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,344,7279,16,0.401,0.212,NA,NA,NA,NA,NA,2.5,11.7,14.2,0.061
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,INO,NBA,,205,5215,16,0.409,0.217,NA,NA,NA,NA,NA,1.7,8.9,10.6,0.086
1 season,NA,CHS,NBA,,67,NA,NA,0.394,0.259,NA,NA,NA,NA,NA,0.9,2.8,3.6,NA
1 season,NA,BLB,NBA,,55,1879,NA,0.381,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,FTW,NBA,,17,185,NA,0.243,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
