,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,25,CHS,NBA,,7,,8,8,,,,20
1950-51,26,INO,NBA,,9,,6,,,,,19
1951-52,27,INO,NBA,,13,,6,10,,,6,28
1952-53,28,INO,NBA,,12,,7,11,,,,27
1953-54,29,TOT,NBA,,9,,4,5,,,,22
1953-54,29,BLB,NBA,,9,,4,5,,,,22
1953-54,29,FTW,NBA,,3,,3,3,,,4,6
Career,,,,,13,,8,,,,,28
3 Seasons,,INO,NBA,,13,,7,,,,,28
1 Season,,CHS,NBA,,7,,8,8,,,,20
1 Season,,BLB,NBA,,9,,4,5,,,,22
1 Season,,FTW,NBA,,3,,3,3,,,4,6
