,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,26,SEA,NBA,C,64,1174,.461,11.5,.995,.251,.133,.159,.452,.005,.464,.577,.345,.394,.460,.000,.822,.031,12,,.000,,0,0
2002-03,27,SEA,NBA,C,82,1984,.412,12.7,.892,.202,.176,.150,.365,.108,.419,.528,.360,.508,.351,.353,.773,.024,19,1.000,.247,.333,0,0
2003-04,28,LAC,NBA,C,61,949,.393,12.4,.905,.193,.190,.190,.332,.095,.402,.507,.444,.347,.349,.306,.667,.011,4,1.000,.083,.000,0,0
2004-05,29,ATL,NBA,C,71,1435,.438,12.2,.869,.258,.114,.201,.297,.131,.451,.550,.371,.367,.453,.352,.732,.020,10,.960,.296,.429,0,0
Career,,,NBA,,278,5542,.425,12.3,.909,.224,.154,.172,.359,.091,.433,.542,.378,.414,.399,.340,.756,.022,45,.985,.232,.356,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SEA,NBA,,146,3158,.429,12.3,.928,.219,.161,.153,.395,.072,.435,.548,.356,.467,.394,.345,.792,.027,31,1.000,.241,.333,0,0
1 season,,ATL,NBA,,71,1435,.438,12.2,.869,.258,.114,.201,.297,.131,.451,.550,.371,.367,.453,.352,.732,.020,10,.960,.296,.429,0,0
1 season,,LAC,NBA,,61,949,.393,12.4,.905,.193,.190,.190,.332,.095,.402,.507,.444,.347,.349,.306,.667,.011,4,1.000,.083,.000,0,0
