Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Predrag Drobnjak,,2.4,1.6,1,0.7
Spencer Hawes,87.0,2.4,2.1,0.8,0.6
Jahlil Okafor,86.6,2.2,1.2,1.2,0.6
Harvey Catchings,84.7,2.3,1.7,1.4,1.2
Jeff Wilkins,84.6,2.4,2.3,1,0.5
Chris Mihm,83.5,2.9,1.3,0.9,0.7
Marc Jackson,83.3,2.6,2,1.3,0.6
Steven Hunter,81.5,2.6,1,0.9,0.6
Joffrey Lauvergne,81.1,2.3,1.5,1.3,0.1
Jake Tsakalidis,80.9,2.8,1.3,1.2,0.9
Jeff Withey,80.3,2.3,1.8,1.8,0.8
