Season,Team,Lg,Salary
2001-02,Seattle SuperSonics,NBA,"$478,558"
2002-03,Seattle SuperSonics,NBA,"$526,413"
2003-04,Los Angeles Clippers,NBA,"$2,500,000"
2004-05,Atlanta Hawks,NBA,"$2,550,000"
Career,(may be incomplete),,"$6,054,971"
