Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Predrag Drobnjak,,2.4,1.6,1,0.7,NA
Bob Christian,89.6,2.4,1.9,0.9,0.5,0
Jahlil Okafor,86.6,2.2,1.2,1.2,0.6,NA
Charlie Tyra,84.3,2.3,1.5,1.1,0.2,-0.2
Joffrey Lauvergne,81.1,2.3,1.5,1.3,0.1,NA
Jeff Withey,79.7,2.3,1.8,1.8,0.8,0
Luther Rackley,77.6,1.9,1.8,1.3,0.8,0.1
George Nostrand,76.8,2,2,1.3,0.4,NA
Greg Stiemsma,72.8,2.7,1.7,1.5,0.1,NA
Festus Ezeli,71.8,2.7,1.7,1.5,NA,NA
Ed Kalafat,70.5,2.6,2.1,0.7,NA,NA
