Season,Team,Lg,Salary
1999-00,Detroit Pistons,NBA,"$460,000"
2000-01,Detroit Pistons,NBA,"$2,850,000"
2001-02,Detroit Pistons,NBA,"$2,531,250"
2002-03,Detroit Pistons,NBA,"$2,412,500"
2002-03,Boston Celtics,NBA,"$46,642"
2003-04,New Jersey Nets,NBA,"$513,000"
2004-05,Los Angeles Clippers,NBA,"$870,046"
2005-06,Seattle SuperSonics,NBA,"$1,020,000"
2006-07,New Jersey Nets,NBA,"$1,071,225"
2007-08,Sacramento Kings,NBA,"$5,356,000"
2008-09,Sacramento Kings,NBA,"$5,632,200"
2009-10,Sacramento Kings,NBA,"$2,000,000"
2009-10,Golden State Warriors,NBA,"$537,952"
Career,(may be incomplete),,"$25,300,815"
