Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Roger Brown,,0.9,0.7,0.4,0.2,0.1,NA,NA,NA
Dave Newmark,79.6,0.8,0.7,0.4,NA,NA,NA,NA,NA
Mamadou N'Diaye,77.1,0.8,0.6,0.3,0.2,0,NA,NA,NA
Žan Tabak,74.3,1.1,0.9,0.2,0.1,0.1,0,NA,NA
Steve Hayes,73.1,1.2,0.9,0.3,0.3,0.2,NA,NA,NA
Todd Fuller,71.8,0.7,0.7,0.6,0.2,0,NA,NA,NA
Keith Closs,71.4,1.1,0.6,0.2,NA,NA,NA,NA,NA
Mark McNamara,65.0,1.2,0.7,0.6,0.4,0.1,0,0,-0.2
Eric Fernsten,63.7,1.2,1,0.5,0.5,0.2,0,NA,NA
Hamed Haddadi,62.0,0.6,0.6,0.4,0.1,0,NA,NA,NA
Earl Williams,60.3,1.3,1,0.4,0,NA,NA,NA,NA
