Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Roger Brown,,0.9,0.7,0.4,0.2,0.1
Dave Newmark,79.6,0.8,0.7,0.4,NA,NA
Mamadou N'Diaye,77.1,0.8,0.6,0.3,0.2,0
Steve Hayes,73.1,1.2,0.9,0.3,0.3,0.2
Eric Fernsten,72.6,1.2,0.5,0.5,0.2,0
Todd Fuller,71.8,0.7,0.7,0.6,0.2,0
Keith Closs,71.4,1.1,0.6,0.2,NA,NA
Greg Dreiling,69.8,1.1,0.4,0.2,0.2,0.1
Jawann Oldham,68.5,1,0.5,0.3,0,0
Connie Dierking,65.2,1.4,0.7,0.5,0.5,0.1
Mark McNamara,64.1,1.2,0.6,0.4,0,-0.2
