Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jim Krebs,,4.2,2.8,1.5,1.3,1.3,1.2,0.1,NA,NA,NA,NA
Connie Dierking,85.1,4.2,3,1.5,1.4,1,0.7,0.5,0.5,0.3,0.1,NA
Marc Jackson,83.6,4.6,2.6,2,1.3,1.2,0.7,0.6,NA,NA,NA,NA
Cherokee Parks,83.5,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0,NA,NA
Manute Bol,80.3,3.9,2.4,2,1.7,1.3,0.8,0.2,0.1,0,-0.2,NA
Francisco Elson,76.2,3.1,2.9,1.8,1.8,1.6,0.6,0,0,0,NA,NA
Jake Tsakalidis,75.5,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA,NA,NA,NA
Walt Wesley,75.2,4.1,1.7,1.2,1.2,1,0.7,0.2,0,-0.3,-0.4,NA
Chris Mihm,75.0,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA,NA,NA
Carlos Rogers,74.6,4,2.2,2,0.9,0.9,0.5,0.5,0,NA,NA,NA
Duane Causwell,74.2,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0,0
