Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jim Krebs,,4.2,2.8,1.5,1.3,1.3,1.2,0.1
Marc Jackson,83.6,4.6,2.6,2,1.3,1.2,0.7,0.6
Manute Bol,82.4,3.9,2.4,2,1.7,1.3,0.8,0
Duane Causwell,79.7,3.9,2.9,2.8,1.8,1.3,1.2,0.7
Adonal Foyle,78.7,4,1.9,1.2,1.1,1.1,0.7,-0.1
Carlos Rogers,76.8,4,2.2,2,0.9,0.9,0.5,0
Cherokee Parks,76.3,3.8,2.2,1.9,1.4,0.9,0.2,0
Hank Finkel,76.1,3.4,3.4,2.3,1.2,1,0.9,0
Jake Tsakalidis,75.5,2.8,2.8,1.3,1.2,0.9,0.6,0.3
Mike Brown,75.4,3.7,3.7,2.4,1.5,1.4,1,0.7
Bill Wennington,75.0,3.5,2.1,1.3,1.2,0.9,0.5,0.4
