Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jerry Sichting,,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
Lionel Hollins,89.0,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1
Jeremy Lin,87.9,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA
George Senesky,87.8,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA
Chris Childs,87.4,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA
Carlos Arroyo,87.3,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA
John Roche,86.8,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5,NA,NA
Darwin Cook,86.7,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA
Evan Fournier,86.7,5.7,3.3,3.2,2.8,2.1,1.4,1,NA,NA,NA
Jodie Meeks,86.7,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1
Greg Buckner,86.2,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.3,0.1
