Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ricky Sobers,,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1
Eric Gordon,95.3,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7
Guy Rodgers,92.7,6.2,4.8,4.3,4,2.8,2.5,2.4,2.3,2.1,1.3,-0.2
John Long,91.1,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.2,0.2
Greg Anthony,90.5,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1
Rodney Stuckey,90.4,5,4.5,4,3.8,2.7,2.5,2.2,2,2,-0.1,NA
Jarrett Jack,90.2,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9
Dell Curry,90.0,5.1,5,3.8,3.4,3.3,3.2,2.7,2,1.8,0.9,0.5
Chris Ford,89.9,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,NA
Eric Piatkowski,89.8,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2,1.2,0.9
Tony Allen,89.5,5.1,4.7,4.2,4.1,2.7,2.7,2.7,1.9,1.9,1.7,1.6
