Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1975-76,23,PHO,NBA,SG,78,1898,13.1,0.507,NA,0.308,4.6,10.1,7.4,15.9,2.5,0.2,NA,NA,NA,0.9,1.9,2.8,0.072,NA,-2,0.4,-1.6,0.2
1976-77,24,PHO,NBA,SG,79,2005,16.5,0.557,NA,0.347,4.4,8.1,6.3,18.1,2.1,0.4,NA,NA,NA,3,2.2,5.3,0.126,NA,0.2,0.2,0.5,1.3
1977-78,25,IND,NBA,PG,79,3019,15.4,0.514,NA,0.328,2.9,7.8,5.3,27.7,2.5,0.4,20.1,21.8,NA,2.4,2.4,4.8,0.076,NA,0.1,-0.4,-0.3,1.3
1978-79,26,IND,NBA,SG,81,2825,14.8,0.523,NA,0.283,4.3,6.7,5.5,22.4,2.2,0.4,18.5,22.8,NA,2.1,2.3,4.3,0.074,NA,-0.3,-0.3,-0.7,1
1979-80,27,CHI,NBA,PG,82,2673,12.5,0.524,0.068,0.239,3.2,6.9,5.1,23.8,2.4,0.4,20.3,21.2,NA,0.5,1.9,2.4,0.044,NA,-1.3,-0.6,-1.9,0.1
1980-81,28,CHI,NBA,PG,71,1803,15.6,0.546,0.086,0.321,3,5.9,4.6,23.3,2.6,0.5,19,24.5,NA,2.2,1.6,3.8,0.101,NA,-0.1,-0.5,-0.6,0.6
1981-82,29,CHI,NBA,SG,80,1938,12.2,0.515,0.095,0.317,2.3,5.9,4.2,23.5,1.8,0.5,19.2,24.4,NA,-0.2,1.2,1,0.024,NA,-2,-1.4,-3.4,-0.7
1982-83,30,WSB,NBA,SG,41,1438,12.8,0.524,0.103,0.346,2.7,5.2,3.9,22.6,2,0.6,19.3,22,NA,0.4,2,2.4,0.08,NA,-1.2,0.6,-0.7,0.5
1983-84,31,WSB,NBA,SG,81,2624,13.2,0.514,0.1,0.237,2.3,5.7,4,22.2,2.2,0.4,15.3,23.6,NA,0.4,2.5,2.9,0.053,NA,-1.3,-0.2,-1.6,0.3
1984-85,32,SEA,NBA,SG,71,1490,11.3,0.501,0.045,0.258,2.1,5.9,4,26.3,1.6,0.3,18.4,24.1,NA,-0.9,1,0.1,0.002,NA,-2.3,-1.3,-3.7,-0.6
1985-86,33,SEA,NBA,SG,78,1279,13.4,0.506,0.079,0.231,2.6,6.6,4.6,21.7,1.7,0.1,12.5,22.3,NA,1.1,1.1,2.2,0.081,NA,-0.7,-0.6,-1.3,0.2
Career,NA,,NBA,,821,22992,13.9,0.522,0.048,0.291,3.2,6.9,5,22.7,2.2,0.4,18.3,22.9,NA,11.9,20.1,32,0.067,NA,-0.9,-0.4,-1.3,4.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CHI,NBA,,233,6414,13.3,0.528,0.082,0.288,2.9,6.3,4.7,23.6,2.3,0.5,19.6,23.1,NA,2.5,4.7,7.2,0.054,NA,-1.2,-0.8,-2,0
2 seasons,NA,IND,NBA,,160,5844,15.1,0.518,NA,0.306,3.6,7.2,5.4,25.1,2.4,0.4,19.3,22.3,NA,4.5,4.7,9.1,0.075,NA,-0.1,-0.3,-0.5,2.3
2 seasons,NA,PHO,NBA,,157,3903,14.9,0.536,NA,0.33,4.5,9.1,6.8,17,2.3,0.3,NA,NA,NA,4,4.1,8.1,0.1,NA,-0.8,0.3,-0.5,1.4
2 seasons,NA,SEA,NBA,,149,2769,12.2,0.503,0.061,0.246,2.3,6.3,4.3,24.2,1.6,0.2,15.8,23.3,NA,0.2,2.1,2.2,0.038,NA,-1.6,-1,-2.6,-0.4
2 seasons,NA,WSB,NBA,,122,4062,13.1,0.517,0.101,0.272,2.4,5.5,4,22.3,2.1,0.4,16.7,23.1,NA,0.8,4.5,5.3,0.063,NA,-1.3,0.1,-1.2,0.8
