Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jeremy Lin,,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA
Lionel Hollins,92.9,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1
Kevin Grevey,89.1,5.8,4.4,3.6,3.4,3.3,2.1,2,1,0.7,0.1
Maurice Evans,88.6,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA
Chris Childs,88.2,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA
Jerry Sichting,87.9,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
George Senesky,87.1,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA
Jodie Meeks,86.9,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1
Darwin Cook,86.4,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA
Isaiah Rider,86.2,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2,NA
Carlos Delfino,86.1,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA,NA
