Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1961-62,23,PHW,NBA,NA,2,NA,12,3,18,0.167,6,12,0.5,9,0,6,12
Career,NA,,NBA,NA,2,NA,12,3,18,0.167,6,12,0.5,9,0,6,12
