Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,24,HOU,NBA,SF,8,NA,291,36,87,0.414,17,20,0.85,24,29,53,35,14,1,NA,31,89
Career,NA,,NBA,,8,NA,291,36,87,0.414,17,20,0.85,24,29,53,35,14,1,NA,31,89
