Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ed Ratleff,,5.6,4.5,2.1,1,0.5
Chris Wilcox,90.2,6,4.4,2.6,1.3,0.6
Tracy Murray,89.6,4.9,4.4,2.2,0.5,0.5
Markieff Morris,87.4,6.4,4.6,1.7,1.5,0.5
Jamario Moon,87.1,5.7,4.9,2.9,1.1,-0.3
Leon Powe,86.7,4.9,4.3,1.7,0.6,0.5
Walt Budko,85.9,5.6,4,2.7,1.5,NA
Fred Hetzel,85.2,5.1,4.5,2.9,2,0.5
Stan McKenzie,84.6,6.1,5.3,2.4,0.6,0.1
Travis Grant,83.9,5.6,4.1,1.5,0.5,NA
Kenny Carr,83.8,5.8,3.8,2.9,1.1,0
