Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,24,HOU,NBA,SF,8,NA,291,4.5,10.8,0.414,2.1,2.5,0.85,3,3.6,6.6,4.3,1.7,0.1,NA,3.8,11
Career,NA,,NBA,,8,NA,291,4.5,10.8,0.414,2.1,2.5,0.85,3,3.6,6.6,4.3,1.7,0.1,NA,3.8,11
