Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Ed Ratleff,,5.6,4.5,2.1,1,0.5,NA,NA,NA,NA
Jamario Moon,87.1,5.7,4.9,2.9,1.1,-0.3,NA,NA,NA,NA
Leon Powe,86.7,4.9,4.3,1.7,0.6,0.5,NA,NA,NA,NA
Walt Budko,85.9,5.6,4,2.7,1.5,NA,NA,NA,NA,NA
Stan McKenzie,84.0,6.1,5.3,2.4,0.6,0.2,0.1,-0.1,NA,NA
Travis Grant,83.9,5.6,4.1,1.5,0.5,NA,NA,NA,NA,NA
Larry McNeill,83.0,4.4,4.3,2.3,1.5,0.7,0.1,NA,NA,NA
Albert King,81.4,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0,-0.1
Monk Meineke,81.2,6.1,3.7,2.6,1.8,0.7,NA,NA,NA,NA
Tom Boswell,80.8,5.6,3.7,2.7,2.4,0.6,0.2,NA,NA,NA
Fred Hetzel,80.6,5.1,4.5,2.9,2,0.9,0.5,NA,NA,NA
