Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,20,DAL,NBA,PG,1,1,17:31,3,6,0.5,2,5,0.4,0,0,NA,0,1,4,1,0,0,0,8
Career,NA,,NBA,,1,1,18,3,6,0.5,2,5,0.4,0,0,NA,0,1,4,1,0,0,0,8
