Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Phil Jackson,,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5
Dorell Wright,88.7,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,NA
Kris Humphries,88.2,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.6,1.5,0.7,0.2,-0.3
Austin Croshere,87.8,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,1.1,0.3,0.1,0
Luc Mbah a Moute,87.6,4.8,4.7,4,3.1,2.8,2.4,1.6,1.1,1,0.5,0,NA
Phil Hubbard,87.4,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,NA,NA
Ben Poquette,87.1,5.4,5,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,NA,NA
Gerald Govan,86.9,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1,0.1,NA,NA,NA
Chris Wilcox,86.7,6,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2,NA
Al-Farouq Aminu,86.4,5.8,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7,NA,NA,NA
Alan Henderson,86.4,6,4.3,3.1,3.1,2.6,2,1.9,1.6,1.3,1.3,0.7,0.2
