Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,25,DNN,NBA,NA,9,NA,NA,6,27,0.222,3,5,0.6,NA,6,13,15
Career,NA,,NBA,NA,9,NA,NA,6,27,0.222,3,5,0.6,NA,6,13,15
