Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Frank Johnson,,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5
John Battle,90.1,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2
Marquis Daniels,88.7,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1
Dudley Bradley,87.6,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA
Shaun Livingston,84.9,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Sasha Vujačić,84.1,3.7,3.6,2.1,2,1.8,1.4,1.1,0.2,0.1,-0.1
Eddie House,83.6,4.9,3.9,1.9,1.8,1.6,1.1,0.9,0.7,0.7,0.4
Jim King,82.5,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1
Jordan Farmar,80.9,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,0
Fatty Taylor,80.9,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA
Clint Richardson,80.5,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA
