Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Tobias Harris,,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9,NA,NA,NA
Cincinnatus Powell,91.4,8.1,7,6.8,6.4,5.4,4.3,3,0.1,NA,NA,NA
Campy Russell,90.3,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1,NA,NA
Wil Jones,90.0,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA
Raef LaFrentz,89.6,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2,NA
Kenneth Faried,88.4,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA,NA
Jim Pollard,87.8,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA,NA
Lonnie Shelton,87.1,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1,NA
Tristan Thompson,86.9,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA,NA
Loy Vaught,86.5,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1,0.5,0.2,-0.2
Charles Smith,84.5,9.4,7.4,6.6,4.8,4.4,4,2.4,1.9,0,NA,NA
