Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tobias Harris,,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9
Danilo Gallinari,92.0,7.2,6.8,6.3,6.1,5.6,3.9,3.9,1
Armen Gilliam,91.7,7.6,6.8,6.6,5.1,4.6,4.5,2.8,1.3
Cincinnatus Powell,91.4,8.1,7,6.8,6.4,5.4,4.3,3,0.1
Raef LaFrentz,90.7,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9
Wil Jones,90.5,7.4,6.9,6,5.4,4,3.7,2.3,0.6
Campy Russell,90.5,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1
Dave Greenwood,90.4,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2
Michael Cage,89.7,7.6,7.2,6.8,6.7,6.7,4.3,3.2,1.7
Cazzie Russell,89.7,7.3,7.1,5.9,5.2,5.2,4.1,2.2,2
Troy Murphy,88.7,8.5,6.5,6.4,6.2,5.3,4.5,1.4,1.3
