Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
John Crotty,,2.4,2.2,2.1,1.9,1.3,1,0.8,0.3,0.1,0.1,-0.1
David Wingate,89.2,2.4,2.3,1.9,1.7,1.4,1,0.6,0.4,0.2,0.1,-0.5
Ledell Eackles,84.9,2.4,2.1,2,1.2,1,1,1,NA,NA,NA,NA
Iman Shumpert,83.9,2.4,2,2,1.9,1.7,1.5,1.4,0,NA,NA,NA
Randy Brown,83.5,2.4,1.9,1.8,1.6,1.5,1,0.9,0.4,0.3,0,-0.8
Garrett Temple,83.4,2.7,2.2,2.2,1.5,1.2,1.2,0.4,0.3,-0.4,NA,NA
Mike Bratz,83.3,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,NA,NA
Anthony Bowie,82.9,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA,NA,NA
Trey Burke,81.2,2.4,2.4,2.1,1.9,0.9,0.5,NA,NA,NA,NA,NA
Shelvin Mack,80.3,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5,NA,NA,NA
Alonzo Gee,79.6,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA,NA,NA
