Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Don Collins,,3.5,3.4,2.6,0.9,0,0
Frank Kaminsky,87.8,3.6,3.3,2.3,1.8,NA,NA
Dwight Davis,86.1,3.7,3.3,2.3,1.5,0.6,NA
Duane Ferrell,86.0,3.5,3.2,2.8,1.9,0.4,-0.1
Len Chappell,85.9,3.7,3.6,3.2,0.5,0.1,0.1
Eddie Griffin,85.3,3.9,3.2,2.4,1.5,-0.2,NA
Mike Jackson,85.3,3.4,3.1,2.4,0.2,NA,NA
Bill Garnett,84.6,3.9,3.5,2,1.5,NA,NA
Andray Blatche,84.5,3.4,3,2.4,1.4,0.5,0.1
Anthony Tolliver,84.5,3.3,3.2,2.5,1.2,0.9,0
Marv Roberts,84.4,4.3,3.4,2.4,1.2,0.4,-0.2
