Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Don Collins,,3.5,3.4,2.6,0.9,0,0
Frank Kaminsky,87.8,3.6,3.3,2.3,1.8,NA,NA
Dwight Davis,86.1,3.7,3.3,2.3,1.5,0.6,NA
Eddie Griffin,85.3,3.9,3.2,2.4,1.5,-0.2,NA
Mike Jackson,85.3,3.4,3.1,2.4,0.2,NA,NA
Bill Garnett,84.6,3.9,3.5,2,1.5,NA,NA
Marv Roberts,84.4,4.3,3.4,2.4,1.2,0.4,-0.2
Reggie Johnson,84.3,3.9,3,2.4,1.6,NA,NA
Richaun Holmes,83.3,4.3,3.8,2.8,1.5,NA,NA
Collis Jones,83.1,4.2,3.2,2.1,1.2,NA,NA
Derrek Dickey,82.6,3.8,3.1,2.3,1.7,0.3,NA
