Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jon Sundvold,,3,1.5,1.2,1,1,0.8,0.2,0.2,0
Mike Evans,85.7,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2
Bucky Bockhorn,81.5,3.1,1.5,1.3,1.1,0.5,0.3,0.1,NA,NA
Jerry Reynolds,79.9,3.7,1.6,1.3,1.3,1,0.9,0.6,0,NA
Si Green,75.2,2.6,2.6,1.6,1,0.8,0.8,0.4,0.1,NA
Dion Waiters,74.9,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA,NA
Alonzo Gee,74.2,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA
Wes Matthews,73.2,3,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1
Rick Adelman,73.0,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA
Shelvin Mack,72.5,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5,NA
Al Ferrari,71.1,3.3,1.9,1.4,1.4,0.9,0,NA,NA,NA
