Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22,MMF,ABA,SF,7,NA,118,23,59,0.39,0,7,0,23,52,0.442,0.39,21,34,0.618,NA,NA,23,6,8,9,67
Career,NA,,ABA,,7,NA,118,23,59,0.39,0,7,0,23,52,0.442,0.39,21,34,0.618,NA,NA,23,6,8,9,67
