Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Cedric Ceballos,,9.8,6.2,5.5,5.2,4,2.8,2.4,1.3,1.3,1.3,0.4,NA,NA,NA,NA
Matt Harpring,88.3,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2,NA,NA,NA,NA
Chris Mills,86.2,8.9,7.8,5.4,5.1,4,3,1.9,1.2,0.3,0.1,NA,NA,NA,NA,NA
Vin Baker,84.4,10.4,8.3,6.2,5.8,4.4,3.5,2.8,2.2,1.8,1.6,0.4,0.1,-0.4,NA,NA
Sidney Wicks,84.0,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,NA,NA,NA,NA,NA
Jamal Mashburn,83.7,9,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2,NA,NA,NA,NA
Charles Smith,82.8,9.4,7.4,6.6,4.8,4.4,4,2.4,1.9,0,NA,NA,NA,NA,NA,NA
Stacey Augmon,82.6,9.7,5.6,5.1,3.7,3.7,2.6,2.5,2.3,1.8,1.6,1.5,1.5,1.2,0.7,0.3
Drew Gooden,82.4,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0,-0.1,NA
Carl Landry,82.3,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA,NA,NA,NA,NA,NA
Ed Pinckney,82.3,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.7,0.3,NA,NA,NA
