Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Mario Elie,,8.9,5.1,4.8,4.6,4.5,4.4,4.2,3.8,3.8,3.1,1.6,NA,NA,NA,NA
John Lucas,87.7,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.9,3.2,1.9,1.3,1,0.4,NA
Vinnie Johnson,87.4,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,NA,NA
Nate McMillan,84.7,6.5,6,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6,0.8,NA,NA,NA
Monta Ellis,83.9,9,6,4.9,4.6,4.3,4,3.6,2.6,1.3,1.1,0.5,0.2,NA,NA,NA
Darren Collison,83.5,7.6,6.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9,NA,NA,NA,NA,NA
Kendall Gill,82.7,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4
Michael Cooper,82.6,6.5,6.1,5.8,5.2,5,5,4.6,4.4,4,3.1,2.7,0,NA,NA,NA
Wesley Matthews,82.5,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.1,2.7,2.6,NA,NA,NA,NA,NA
Sedale Threatt,82.2,7.3,7.1,4.6,4.6,4.5,3.8,3.7,3.4,2.7,2.5,2.1,1.3,0.4,0.1,NA
Dick McGuire,81.9,6.9,6.6,6.3,5.3,5.3,4.7,4.5,4,4,2.1,1.3,NA,NA,NA,NA
